dl1,dl2,dl3,x_pcc,y_pcc,z_pcc,x_real,y_real,z_real,dx,dy,dz
2.553307,0.0,9.391391,55.209335,-14.542874,86.80716,73.630382,-11.642781,64.422788,18.421047,2.900093,-22.384372
0.0,0.0,9.358861,53.212685,-30.722358,82.159857,67.485247,-37.165629,55.773461,14.272562,-6.443271,-26.386396
0.0,5.049953,0.0,-31.32048,-18.082887,101.626065,-40.812517,-16.219016,97.967213,-9.492037,1.863871,-3.658852
1.422072,9.264131,0.0,-53.950959,-21.585789,85.787946,-71.34816,-8.682322,61.667406,-17.3972,12.903467,-24.12054
0.0,3.816636,0.0,-23.985613,-13.8481,105.204574,-29.961318,-13.61679,103.984324,-5.975705,0.23131,-1.22025
0.0,1.634401,3.485646,11.776643,-18.804899,106.957338,12.909227,-21.534465,106.913647,1.132584,-2.729566,-0.043691
5.538978,0.0,4.723589,29.67281,23.046145,100.919272,34.478314,37.166465,93.70284,4.805503,14.12032,-7.216433
0.0,0.0,0.23537,1.495745,-0.863569,109.981919,2.455605,1.085773,110.910297,0.95986,1.949341,0.928378
1.456844,0.0,0.0,0.0,10.696902,109.303435,0.501492,13.477447,110.206579,0.501492,2.780545,0.903144
4.075093,0.860891,0.0,-5.434119,26.564758,105.409969,-9.20778,32.326659,103.780093,-3.773662,5.7619,-1.629875
0.0,6.410542,0.0,-38.955756,-22.491116,96.589844,-52.796527,-18.564169,87.800816,-13.84077,3.926948,-8.789029
0.0,0.0,7.257876,43.408278,-25.061781,92.908893,55.880985,-30.945009,80.465038,12.472707,-5.883228,-12.443856
7.25873,0.481112,0.0,-2.89586,48.7781,93.868325,-14.769374,60.614825,82.317579,-11.873514,11.836726,-11.550746
0.0,2.939968,9.054559,36.347013,-41.164594,88.871558,43.681548,-56.139857,67.566214,7.334535,-14.975263,-21.305345
0.0,0.613626,0.037163,-3.666329,-2.389676,109.883838,-3.381151,-1.175774,110.385585,0.285179,1.213902,0.501747
0.0,2.254438,8.305247,36.344251,-36.619522,91.737958,46.093466,-50.76474,75.088008,9.749215,-14.145218,-16.64995
0.0,4.560672,0.0,-28.45121,-16.426314,103.160811,-34.247058,-14.889058,100.036908,-5.795848,1.537256,-3.123902
7.5743,0.0,0.0,0.0,51.965075,91.432911,-13.738675,65.737049,76.707123,-13.738675,13.771974,-14.725788
6.2537,0.0,8.807983,52.970318,12.844841,89.24243,68.997916,31.553402,65.156253,16.027598,18.708561,-24.086177
0.044515,0.0,0.0,0.0,0.326487,109.999354,1.493839,1.952878,110.589974,1.493839,1.62639,0.59062
0.0,0.0,4.733213,29.469614,-17.014289,102.636692,36.999264,-18.884794,98.813532,7.529651,-1.870505,-3.82316
3.792901,0.0,3.50538,22.297689,14.985426,105.496601,25.875542,21.555346,104.649348,3.577853,6.56992,-0.847253
0.0,4.461645,0.0,-27.863621,-16.087069,103.453151,-35.631132,-13.914041,100.601775,-7.767512,2.173028,-2.851376
5.510051,0.0,0.0,0.0,39.216774,100.047647,-7.711827,50.239482,94.560347,-7.711827,11.022708,-5.4873
0.0,0.0,7.757893,45.910392,-26.506377,90.552125,58.769296,-32.483342,74.525573,12.858903,-5.976965,-16.026552
6.905619,6.563176,0.0,-40.367383,25.738181,94.594819,-54.661936,34.979299,79.26788,-14.294553,9.241119,-15.326939
3.130568,0.0,0.0,0.0,22.836403,106.773085,-1.690381,27.195133,107.830872,-1.690381,4.35873,1.057787
0.0,0.0,9.957812,55.639168,-32.123289,78.719383,68.890511,-37.138816,47.369625,13.251343,-5.015527,-31.349757
0.0,4.307969,0.0,-26.947475,-15.558132,103.894524,-33.374247,-12.547943,101.384664,-6.426772,3.010189,-2.509859
1.19061,7.638099,0.0,-46.015447,-18.284607,93.377265,-61.059594,-11.182201,78.691351,-15.044147,7.102407,-14.685915
0.0,0.109041,7.772355,45.408698,-26.9628,90.724621,57.251949,-35.017935,75.661476,11.843251,-8.055135,-15.063145
1.489845,0.0,0.0,0.0,10.938709,109.271438,1.080877,13.391551,108.705791,1.080877,2.452842,-0.565647
0.0,0.0,8.869757,51.103433,-29.504581,84.853259,65.266473,-35.889186,63.085284,14.16304,-6.384605,-21.767975
0.0,0.0,0.895885,5.698304,-3.289917,109.737171,7.302247,-2.063011,109.980776,1.603943,1.226906,0.243605
0.819515,0.0,0.0,0.0,6.018713,109.780147,0.586592,7.930057,111.430043,0.586592,1.911344,1.649895
0.213879,8.175047,0.0,-48.076177,-26.304422,88.974388,-67.008228,-18.14016,69.610444,-18.932052,8.164261,-19.363943
0.0,0.0,1.690577,10.745804,-6.204093,109.061282,11.422538,-5.733197,108.415962,0.676734,0.470895,-0.64532
0.0,0.0,9.008699,51.713967,-29.857073,84.099181,66.255163,-36.328633,60.651773,14.541197,-6.471561,-23.447408
0.0,0.0,5.340027,32.992992,-19.048513,100.646032,42.111735,-22.700119,95.278853,9.118743,-3.651606,-5.367179
