target_index,method,source_dl1,source_dl2,source_dl3,target_x,target_y,target_z,ik_dl1,ik_dl2,ik_dl3,ik_dl_norm,ik_forward_x,ik_forward_y,ik_forward_z,ik_residual_norm,reached_x,reached_y,reached_z,err_x,err_y,err_z,err_norm,active_tendons,active_set,solver,nfev,success
17,PCC IK,0.0,7.807290310219679,4.5891577553833995,-20.961670513484687,-43.94241823433593,93.80041080825694,0.0,7.9582854185389635,4.52127655798608,9.152936606178606,-21.003002991356475,-44.029064435067355,93.92940984670379,0.16080015469029726,-22.317212233853798,-44.09206944103982,93.23443249021757,-1.3555417203691107,-0.14965120670388643,-0.5659783180393703,1.4765569057167598,2 3,2 3,scipy.least_squares,7,True
17,PCC+NN IK,0.0,7.807290310219679,4.5891577553833995,-20.961670513484687,-43.94241823433593,93.80041080825694,0.0,7.818217443426803,4.582241290534443,9.06208912102402,-20.97188134647867,-43.964736115267094,93.83346918586471,0.04117287031221729,-21.072389738901695,-43.94575310108812,93.76152404857619,-0.1107192254170073,-0.003334866752190635,-0.03888675968075006,0.11739696883508258,2 3,2 3,scipy.least_squares,23,True
18,PCC IK,1.1453007353597344,6.6840296179047165,0.0,-41.60145695104816,-14.550240288660728,97.06774522074032,1.3399952010484812,6.7983862530669095,0.0,6.9291877435037135,-41.64940826601655,-14.567011407444861,97.14713640343821,0.0942526335050574,-42.307608283906205,-13.560224441735757,96.84024095876315,-0.7061513328580418,0.9900158469249707,-0.22750426197717388,1.237149655974383,1 2,1 2,scipy.least_squares,7,True
18,PCC+NN IK,1.1453007353597344,6.6840296179047165,0.0,-41.60145695104816,-14.550240288660728,97.06774522074032,1.1430202982231752,6.687738400019945,0.0,6.784713723455952,-41.6090489170733,-14.552952587277057,97.080062314203,0.014720913805857851,-41.62226822344246,-14.577589692348713,97.04894925082547,-0.020811272394297475,-0.02734940368798533,-0.018795969914847888,0.039171257648917795,1 2,1 2,scipy.least_squares,21,True
19,PCC IK,5.652361064811888,7.649988574160256,0.0,-47.607968736068955,14.13205271244014,93.30314491724576,5.893188969850313,7.784176775285107,0.0,9.763354152301014,-47.590635397696055,14.126907446369412,93.27952118475943,0.02974893474855268,-48.34307129305987,15.351131248595756,92.47676256180542,-0.7351025569909169,1.2190785361556156,-0.8263823554403444,1.6460364649645627,1 2,1 2,scipy.least_squares,6,True
19,PCC+NN IK,5.652361064811888,7.649988574160256,0.0,-47.607968736068955,14.13205271244014,93.30314491724576,5.65207748705309,7.662327556750089,0.0,9.521409743655829,-47.601864548140256,14.130295342836465,93.29491321677756,0.010397612744807223,-47.67836174980568,14.085779106369925,93.260396883376,-0.07039301373672657,-0.04627360607021558,-0.04274803386975634,0.09446595895564869,1 2,1 2,scipy.least_squares,15,True
20,PCC IK,5.592071607454136,0.0,3.039500980626122,19.40342102184042,31.039735367772636,102.04774652668036,5.79139482836903,0.0,3.0717313752891204,6.5555920937772765,19.269015906155065,30.824726976978557,101.53443316037365,0.5725241962252543,19.532856258664026,32.36621764167186,101.45122482345948,0.12943523682360691,1.3264822738992237,-0.5965217032208727,1.4601872639884137,1 3,1 3,scipy.least_squares,6,True
20,PCC+NN IK,5.592071607454136,0.0,3.039500980626122,19.40342102184042,31.039735367772636,102.04774652668036,5.599491996202504,0.0,3.034692835106595,6.368961549497941,19.414301921779202,31.0575321589289,102.09222329395531,0.049125376193656436,19.3689512827235,31.110085078938518,102.02742374656236,-0.03446973911691842,0.07034971116588196,-0.02032278011799349,0.0809336775862542,1 3,1 3,scipy.least_squares,17,True
21,PCC IK,0.0,4.367173892323624,0.0,-27.434569449030725,-15.06365718927429,103.83646994693733,0.10734975531918911,4.38404919738986,0.0,4.385363307082067,-27.429458724947306,-15.06085101502467,103.8223088819939,0.015314368250368695,-27.551293220031276,-14.360227043238964,103.93459205967663,-0.11672377100055087,0.7034301460353252,0.09812211273930416,0.7197682669278305,1 2,1 2,scipy.least_squares,6,True
21,PCC+NN IK,0.0,4.367173892323624,0.0,-27.434569449030725,-15.06365718927429,103.83646994693733,0.007933899175874093,4.378082897162008,0.0,4.378090086005382,-27.429965593238386,-15.061010116549143,103.82384058607788,0.013700483126045814,-27.503452136102744,-15.044060912292048,103.81504346155779,-0.06888268707201917,0.019596276982241534,-0.02142648537953562,0.07475247772178457,1 2,1 2,scipy.least_squares,26,True
